Wikipedia article ID,Book title,Author,Publication date,GenreId,genres
10951,Fahrenheit 451,Ray Bradbury,1953,"['/m/06n90', '/m/0dwly', '/m/014dfn', '/m/0c082', '/m/02xlf', '/m/026ny']","['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"
11745,Farmer Giles of Ham,J. R. R. Tolkien,,"['/m/01hmnh', '/m/02xlf']","['Fantasy', 'Fiction']"
12253,Gaudy Night,Dorothy L. Sayers,1935,"['/m/02n4kr', '/m/028v3', '/m/05hgj', '/m/02xlf', '/m/0c3351']","['Mystery', 'Detective fiction', 'Novel', 'Fiction', 'Suspense']"
12464,Gylfaginning,Snorri Sturluson,,,
12653,God Emperor of Dune,Frank Herbert,1981-05-28,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
12667,Genesis,,,['/m/02mdj1'],['Religious text']
12995,Gone with the Wind,Margaret Mitchell,1936-06-30,"['/m/02p0szs', '/m/02xlf', '/m/05hgj']","['Historical fiction', 'Fiction', 'Novel']"
13535,Heart of Darkness,Joseph Conrad,1899,"['/m/02xlf', '/m/0l67h', '/m/016lj8']","['Fiction', 'Novella', 'Roman à clef']"
13554,Hamlet,William Shakespeare,,,
13871,Heretics of Dune,Frank Herbert,1984,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
14311,Adventures of Huckleberry Finn,Mark Twain,1884,"['/m/06nbt', '/m/0dwly', '/m/02xlf', '/m/08sdrw', '/m/09kqc']","['Satire', ""Children's literature"", 'Fiction', 'Adventure novel', 'Humour']"
15055,Ivanhoe,Walter Scott,1819,"['/m/02p0szs', '/m/02xlf', '/m/0hwxm']","['Historical fiction', 'Fiction', 'Historical novel']"
15608,Johnny Got His Gun,Dalton Trumbo,1939,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
17414,Icehenge,Kim Stanley Robinson,1984,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
18187,Leviticus,,,,
18560,Leaf by Niggle,J. R. R. Tolkien,,,
18866,Macbeth,William Shakespeare,,,
19002,Microserfs,Douglas Coupland,1995-06,"['/m/02ql9', '/m/02xlf']","['Epistolary novel', 'Fiction']"
19859,"Moby-Dick; or, The Whale",Herman Melville,1851-10-18,"['/m/07m5w1', '/m/02xlf', '/m/08sdrw']","['Sea story', 'Fiction', 'Adventure novel']"
20361,Moonfleet,J. Meade Falkner,1898,['/m/08sdrw'],['Adventure novel']
21725,Neuromancer,William Gibson,1984-07-01,"['/m/01qpc', '/m/06n90', '/m/014dfn', '/m/026ny']","['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Dystopia']"
21861,Cryptonomicon,Neal Stephenson,1999,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
22113,No Logo,Naomi Klein,2000-01,"['/m/09s1f', '/m/05h83', '/m/02j62', '/m/0h5k', '/m/06ms6', '/m/02xlf']","['Business', 'Non-fiction', 'Economics', 'Anthropology', 'Sociology', 'Fiction']"
22349,Odyssey,Nextext,,,
22460,Othello,William Shakespeare,,,
22808,On War,Carl von Clausewitz,1832,,
23279,The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,"['/m/06n90', '/m/014dfn', '/m/02xlf', '/m/026ny']","['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']"
23280,Time out of Joint,Philip K. Dick,1959,"['/m/06n90', '/m/014dfn', '/m/02xlf', '/m/026ny']","['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']"
23281,A Scanner Darkly,Philip K. Dick,1977,"['/m/06n90', '/m/059r08', '/m/014dfn', '/m/016lj8', '/m/02xlf', '/m/026ny']","['Science Fiction', 'Psychological novel', 'Speculative fiction', 'Roman à clef', 'Fiction', 'Dystopia']"
23285,Radio Free Albemuth,Philip K. Dick,1985,"['/m/06n90', '/m/014dfn', '/m/026ny']","['Science Fiction', 'Speculative fiction', 'Dystopia']"
24162,Pride and Prejudice,Jane Austen,1813-01-28,"['/m/06nbt', '/m/02xlf', '/m/01qxvh', '/m/05hgj']","['Satire', 'Fiction', 'Romance novel', 'Novel']"
24861,Pale Fire,Vladimir Vladimirovich Nabokov,,['/m/02xlf'],['Fiction']
24965,Pacific Overtures,Stephen Sondheim,,,
25821,Romeo and Juliet,William Shakespeare,,,
25830,Rosencrantz & Guildenstern Are Dead,Tom Stoppard,1967,['/m/0pym5'],['Absurdist fiction']
26052,Ringworld,Larry Niven,1970,"['/m/06n90', '/m/014dfn', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"
26436,Rent,Jonathan Larson,,,
26476,Rendezvous with Rama,Arthur C. Clarke,1972,"['/m/03lrw', '/m/06n90', '/m/014dfn']","['Hard science fiction', 'Science Fiction', 'Speculative fiction']"
27490,Sense and Sensibility,Jane Austen,1811,"['/m/0dwly', '/m/02xlf', '/m/01qxvh', '/m/05hgj']","[""Children's literature"", 'Fiction', 'Romance novel', 'Novel']"
28230,Speaker for the Dead,Orson Scott Card,1986,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
28426,Starship Troopers,Robert A. Heinlein,1959-12,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
28833,Sir Gawain and the Green Knight,Pearl Poet,2007,['/m/05qgc'],['Poetry']
29414,Stuart Little,E. B. White,1945,"['/m/014dfn', '/m/0dwly', '/m/02xlf']","['Speculative fiction', ""Children's literature"", 'Fiction']"
29798,The Lord of the Rings,J. R. R. Tolkien,,"['/m/08sdrw', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/050z5g', '/m/03qfd']","['Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction', 'Chivalric romance', 'High fantasy']"
29821,The Doors of Perception,Aldous Huxley,1954,"['/m/037mh8', '/m/05h83']","['Philosophy', 'Non-fiction']"
29834,The Time Machine,H. G. Wells,1895,"['/m/06n90', '/m/0dwly', '/m/014dfn', '/m/01qxvh', '/m/01hmnh', '/m/02xlf', '/m/07s2s', '/m/026ny', '/m/01gw42']","['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Time travel', 'Dystopia', 'Scientific romance']"
29991,The Shockwave Rider,John Brunner,1975,"['/m/06n90', '/m/014dfn', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Novel']"
29999,The Shining,Stephen King,1977-01,"['/m/039vk', '/m/0dwly', '/m/03npn', '/m/014dfn', '/m/02xlf']","['Gothic fiction', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"
30033,Mort,Terry Pratchett,,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
30280,The Hound of the Baskervilles,Arthur Conan Doyle,1901,"['/m/0lsxr', '/m/02n4kr', '/m/028v3', '/m/05hgj']","['Crime Fiction', 'Mystery', 'Detective fiction', 'Novel']"
30292,The Hobbit,J. R. R. Tolkien,1937,"['/m/0dwly', '/m/017ssy', '/m/08sdrw', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","[""Children's literature"", 'Juvenile fantasy', 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction']"
30706,The Great Divorce,C. S. Lewis,1945,"['/m/014dfn', '/m/01hmnh', '/m/06bvp']","['Speculative fiction', 'Fantasy', 'Religion']"
30709,The Screwtape Letters,C. S. Lewis,1942,"['/m/02ql9', '/m/03rllnc', '/m/014dfn', '/m/06nbt', '/m/01hmnh', '/m/02xlf', '/m/09kqc']","['Epistolary novel', 'Inspirational', 'Speculative fiction', 'Satire', 'Fantasy', 'Fiction', 'Humour']"
30757,The Pit and the Pendulum,Nancy Kilpatrick,1842,"['/m/03npn', '/m/014dfn', '/m/0707q']","['Horror', 'Speculative fiction', 'Short story']"
30761,The Hunt for Red October,Tom Clancy,1984,"['/m/05hgj', '/m/017rf8', '/m/0dwly', '/m/02xlf', '/m/0c3351']","['Novel', 'Techno-thriller', ""Children's literature"", 'Fiction', 'Suspense']"
30762,The Cardinal of the Kremlin,Tom Clancy,1988,"['/m/01jfsb', '/m/02xlf', '/m/05hgj']","['Thriller', 'Fiction', 'Novel']"
30763,Debt of Honor,Tom Clancy,,"['/m/01jfsb', '/m/02xlf', '/m/05hgj']","['Thriller', 'Fiction', 'Novel']"
30971,Tunnel in the Sky,Robert A. Heinlein,1955,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
31283,The Mismeasure of Man,Stephen Jay Gould,1981,"['/m/05h83', '/m/06mq7']","['Non-fiction', 'Science']"
31342,The Picture of Dorian Gray,Oscar Wilde,1890,"['/m/039vk', '/m/014dfn', '/m/03npn', '/m/02xlf']","['Gothic fiction', 'Speculative fiction', 'Horror', 'Fiction']"
31431,The Book of the City of Ladies,,,,
31434,The Sentinel,Arthur C. Clarke,1951,['/m/014dfn'],['Speculative fiction']
31435,The Fountains of Paradise,Arthur C. Clarke,1979,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
31584,Lord of the Flies,William Golding,1954,"['/m/014dfn', '/m/03mfnf', '/m/02xlf', '/m/05hgj']","['Speculative fiction', 'Young adult literature', 'Fiction', 'Novel']"
31623,Through the Looking-Glass,Lewis Carroll,1871,['/m/0dwly'],"[""Children's literature""]"
33651,Waiting for Godot,Samuel Beckett,1952,"['/m/05qgc', '/m/07s9rl0', '/m/02xlf', '/m/0pym5', '/m/05qp9']","['Poetry', 'Drama', 'Fiction', 'Absurdist fiction', 'Play']"
33790,The Wanderer,Fritz Leiber,1964,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"
36218,2010: Odyssey Two,Arthur C. Clarke,1982-01,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
36681,Brave New World,Aldous Huxley,,"['/m/06n90', '/m/0dwly', '/m/014dfn', '/m/0c082', '/m/02xlf', '/m/026ny']","['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"
37322,Aeneid,Virgil,1943,"['/m/01hmnh', '/m/02xlf', '/m/05qgc']","['Fantasy', 'Fiction', 'Poetry']"
37373,Paradise Lost,John Milton,1667,['/m/05qgc'],['Poetry']
37713,The Merchant of Venice,William Shakespeare,,,
37737,The Invisible Man,H. G. Wells,1897,"['/m/08w0_f', '/m/06n90', '/m/0dwly', '/m/03npn', '/m/05hgj', '/m/014dfn', '/m/06mq7', '/m/02xlf', '/m/01gw42']","['Albino bias', 'Science Fiction', ""Children's literature"", 'Horror', 'Novel', 'Speculative fiction', 'Science', 'Fiction', 'Scientific romance']"
38093,Twenty Thousand Leagues Under the Sea,Emanuel J Mickel,1869,"['/m/06n90', '/m/0dwly', '/m/05hgj', '/m/08sdrw', '/m/02xlf', '/m/01gw42']","['Science Fiction', ""Children's literature"", 'Novel', 'Adventure novel', 'Fiction', 'Scientific romance']"
38114,Keep the Aspidistra Flying,George Orwell,1936,['/m/05hgj'],['Novel']
38249,Manon Lescaut,Antoine François Prévost,,,
38279,"Lions' Commentary on UNIX 6th Edition, with Source Code",John Lions,1996,['/m/01mkq'],['Computer Science']
38615,The Myth of Sisyphus,Albert Camus,1942,['/m/02m4t'],['Existentialism']
39628,Cymbeline,William Shakespeare,,,
40121,Vanity Fair,William Makepeace Thackeray,,,
41522,Northanger Abbey,Jane Austen,1817-12,"['/m/039vk', '/m/06nbt', '/m/0d6gr', '/m/02xlf', '/m/01qxvh']","['Gothic fiction', 'Satire', 'Reference', 'Fiction', 'Romance novel']"
41525,Amadeus,Peter Shaffer,,,
42478,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,,['/m/05qgc'],['Poetry']
42572,The Eye of the World,Robert Jordan,1990-01-15,"['/m/014dfn', '/m/01hmnh', '/m/03qfd']","['Speculative fiction', 'Fantasy', 'High fantasy']"
42573,The Great Hunt,Robert Jordan,1990-11-15,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
42574,A Crown of Swords,Robert Jordan,1996-05-15,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
42575,Winter's Heart,Robert Jordan,2000-11-07,"['/m/014dfn', '/m/01hmnh']","['Speculative fiction', 'Fantasy']"
42609,Around the World in Eighty Days,Jules Verne,,"['/m/0dwly', '/m/02xlf', '/m/08sdrw']","[""Children's literature"", 'Fiction', 'Adventure novel']"
42645,The Grapes of Wrath,John Steinbeck,1939,['/m/05hgj'],['Novel']
42673,How Green Was My Valley,Richard Llewellyn,1939,"['/m/02p0szs', '/m/07s9rl0', '/m/02xlf', '/m/05hgj']","['Historical fiction', 'Drama', 'Fiction', 'Novel']"
42725,Lady Audley's Secret,Mary Elizabeth Braddon,,,
42863,A Streetcar Named Desire,Tennessee Williams,,,
42906,The Queen of the Damned,Anne Rice,1988-10,"['/m/03npn', '/m/0fdjb', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/039vk']","['Horror', 'Supernatural', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']"
43023,Gulliver's Travels,Jonathan Swift,1726,"['/m/06n90', '/m/06nbt', '/m/01hmnh', '/m/014dfn']","['Science Fiction', 'Satire', 'Fantasy', 'Speculative fiction']"
43168,The Color Purple,Alice Walker,1982,"['/m/02ql9', '/m/02xlf']","['Epistolary novel', 'Fiction']"
43206,A Midsummer Night's Dream,William Shakespeare,1600,"['/m/01hmnh', '/m/01z4y']","['Fantasy', 'Comedy']"
44005,The English Patient,Michael Ondaatje,1992-09,"['/m/02xlf', '/m/05hgj']","['Fiction', 'Novel']"
44077,Captains Courageous,Rudyard Kipling,1897,,
44245,Ramayana,Valmiki,,,
44447,The Forge of God,Greg Bear,1987,"['/m/06n90', '/m/014dfn', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"
44449,Blood Music,Greg Bear,1985,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
44472,The World According to Garp,John Irving,1978,['/m/0488wh'],['Literary fiction']
44524,Mutiny on the Bounty,James Norman Hall,1932,"['/m/03g3w', '/m/05hgj']","['History', 'Novel']"
44672,The Mothman Prophecies,John A. Keel,1975,,
45047,The Memory of Earth,Orson Scott Card,,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
45076,Sixth Column,Robert A. Heinlein,1949,"['/m/06n90', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Fantasy', 'Fiction']"
45081,The Puppet Masters,Robert A. Heinlein,,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
45084,Henry V,William Shakespeare,,,
45133,The Wind in the Willows,Kenneth Grahame,1908,"['/m/0dwly', '/m/02xlf', '/m/05hgj']","[""Children's literature"", 'Fiction', 'Novel']"
45227,The Hunting of the Snark,Lewis Carroll,1876,['/m/014dfn'],['Speculative fiction']
45232,Jonathan Livingston Seagull,Richard Bach,1970,"['/m/012lzc', '/m/070wm', '/m/014dfn', '/m/02xlf', '/m/0l67h']","['Self-help', 'Spirituality', 'Speculative fiction', 'Fiction', 'Novella']"
45492,I Am Legend,Richard Matheson,1954,"['/m/0kflf', '/m/06n90', '/m/03npn', '/m/014dfn', '/m/02psyd2', '/m/0hc1z', '/m/02xlf', '/m/09vxq_p', '/m/026ny']","['Vampire fiction', 'Science Fiction', 'Horror', 'Speculative fiction', 'Zombies in popular culture', 'Apocalyptic and post-apocalyptic fiction', 'Fiction', 'Catastrophic literature', 'Dystopia']"
45896,The Stranger,Albert Camus,,"['/m/0lsxr', '/m/02m4t', '/m/02xlf', '/m/0pym5', '/m/0c3351']","['Crime Fiction', 'Existentialism', 'Fiction', 'Absurdist fiction', 'Suspense']"
45903,The Man in the High Castle,Philip K. Dick,1962-01-01,"['/m/0mz2', '/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/026ny']","['Alternate history', 'Science Fiction', 'Speculative fiction', 'Fantasy', 'Dystopia']"
45908,Rocket Ship Galileo,Robert A. Heinlein,1947-05-01,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
45912,Space Cadet,Robert A. Heinlein,1948,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
45918,Between Planets,Robert A. Heinlein,,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"
45921,Starman Jones,Robert A. Heinlein,1953,"['/m/06n90', '/m/014dfn', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"
45927,Podkayne of Mars,Robert A. Heinlein,,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
46064,Story of O,Pauline Réage,1954,['/m/02js9'],['Erotica']
46184,The Star Beast,Robert A. Heinlein,1954,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
47974,Dr. No,Ian Fleming,1958-03-31,['/m/06wkf'],['Spy fiction']
48573,The Andromeda Strain,Michael Crichton,1969-05-12,"['/m/06n90', '/m/014dfn', '/m/017rf8', '/m/02n4kr', '/m/0c3351', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Techno-thriller', 'Mystery', 'Suspense', 'Fiction']"
48648,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997-06-30,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
49759,Down and Out in Paris and London,George Orwell,1933-01-09,"['/m/012jgz', '/m/0xdf', '/m/02xlf', '/m/016chh', '/m/05h83']","['Autobiographical novel', 'Autobiography', 'Fiction', 'Memoir', 'Non-fiction']"
49917,The Last Man,Mary Shelley,1826-02,"['/m/09vxq_p', '/m/0hc1z', '/m/06n90', '/m/014dfn', '/m/02xlf']","['Catastrophic literature', 'Apocalyptic and post-apocalyptic fiction', 'Science Fiction', 'Speculative fiction', 'Fiction']"
49922,The Transmigration of Timothy Archer,Philip K. Dick,1982,"['/m/014dfn', '/m/05hgj']","['Speculative fiction', 'Novel']"
50223,Dirk Gently's Holistic Detective Agency,Douglas Adams,1987,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/01z4y']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Comedy']"
50376,Dragonflight,Anne McCaffrey,1968-07,"['/m/06n90', '/m/0dwly', '/m/01hmnh', '/m/02xlf']","['Science Fiction', ""Children's literature"", 'Fantasy', 'Fiction']"
52224,The Diamond Age,Neal Stephenson,1995,"['/m/01qpc', '/m/06n90', '/m/014dfn', '/m/02xlf', '/m/0c3mj']","['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Fiction', 'Postcyberpunk']"
52803,The Hunchback of Notre Dame,Victor Hugo,1831-01-14,"['/m/0dwly', '/m/02xlf']","[""Children's literature"", 'Fiction']"
52853,Alice's Adventures in Wonderland,Lewis Carroll,1865-11-26,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/0pym5', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Absurdist fiction', 'Fiction']"
52927,Now Wait for Last Year,Philip K. Dick,1966,"['/m/06n90', '/m/014dfn', '/m/01hmnh']","['Science Fiction', 'Speculative fiction', 'Fantasy']"
53071,The Magician's Nephew,C. S. Lewis,1955,"['/m/014dfn', '/m/01hmnh', '/m/0dwly']","['Speculative fiction', 'Fantasy', ""Children's literature""]"
53515,The Patchwork Girl of Oz,L. Frank Baum,1913,"['/m/014dfn', '/m/01hmnh', '/m/0dwly']","['Speculative fiction', 'Fantasy', ""Children's literature""]"
53589,To Sail Beyond the Sunset,Robert A. Heinlein,1987,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
53590,Double Star,Robert A. Heinlein,1956,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
53591,Time for the Stars,Robert A. Heinlein,1956,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
53592,Citizen of the Galaxy,Robert A. Heinlein,1957,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
53595,Stranger in a Strange Land,Robert A. Heinlein,1961-06-01,"['/m/06n90', '/m/02xlf']","['Science Fiction', 'Fiction']"
53596,Glory Road,Robert A. Heinlein,1963,"['/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"
53597,The Moon Is a Harsh Mistress,Robert A. Heinlein,1966,"['/m/06n90', '/m/01hmnh', '/m/02xlf']","['Science Fiction', 'Fantasy', 'Fiction']"
53598,I Will Fear No Evil,Robert A. Heinlein,1970,"['/m/06n90', '/m/014dfn', '/m/02xlf']","['Science Fiction', 'Speculative fiction', 'Fiction']"
53600,The Cat Who Walks Through Walls,Robert A. Heinlein,1985,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
53673,Methuselah's Children,Robert A. Heinlein,1958,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
53720,Life: A User's Manual,Georges Perec,1978,,
54436,The Wonderful Wizard of Oz,L. Frank Baum,1900,"['/m/014dfn', '/m/01hmnh', '/m/0dwly']","['Speculative fiction', 'Fantasy', ""Children's literature""]"
54932,King Ottokar's Sceptre,Hergé,1939,,
55435,Wuthering Heights,Emily Brontë,1847-12,"['/m/039vk', '/m/02xlf', '/m/05hgj']","['Gothic fiction', 'Fiction', 'Novel']"
55438,Jane Eyre,Charlotte Brontë,1847-10-16,"['/m/05hgj', '/m/02p6xz3', '/m/01qxvh', '/m/02xlf', '/m/01jym', '/m/039vk']","['Novel', 'Social criticism', 'Romance novel', 'Fiction', 'Bildungsroman', 'Gothic fiction']"
55469,Catch-22,Joseph Heller,1961-11-11,"['/m/01fc50', '/m/098tmk', '/m/0pym5', '/m/02p0szs', '/m/06nbt', '/m/0vgkd']","['Anti-war', 'War novel', 'Absurdist fiction', 'Historical fiction', 'Satire', 'Black comedy']"
55483,Robinson Crusoe,Daniel Defoe,1719-04-25,"['/m/014dfn', '/m/0dwly', '/m/02xlf', '/m/08sdrw', '/m/05hgj']","['Speculative fiction', ""Children's literature"", 'Fiction', 'Adventure novel', 'Novel']"
55721,King Lear,William Shakespeare,,,
